testingType, system, assimilationMethod, observationInterval, stateError, timeError, RMSE, 
True,L63+time,RHF,0.5,0.1,0.01,1.159261791246318,
True,L63+time,RHF,0.5,0.1,0.011,1.2454029736633265,
True,L63+time,RHF,0.5,0.1,0.011,1.3095565391877617,
True,L63+time,RHF,0.5,0.1,0.011,1.2311134809200435,
True,L63+time,RHF,0.5,0.1,0.012,1.2889405366537556,
True,L63+time,RHF,0.5,0.1,0.012,1.4175707767235106,
True,L63+time,RHF,0.5,0.1,0.012,1.2010849351384012,
True,L63+time,RHF,0.5,0.1,0.013000000000000001,1.4327821271497292,
True,L63+time,RHF,0.5,0.1,0.013000000000000001,1.3227547892232963,
True,L63+time,RHF,0.5,0.1,0.013000000000000001,1.2814535198097605,
True,L63+time,RHF,0.5,0.1,0.014,1.5706417755057676,
True,L63+time,RHF,0.5,0.1,0.014,1.396408080887831,
True,L63+time,RHF,0.5,0.1,0.014,1.3244790651399223,
True,L63+time,RHF,0.5,0.1,0.015,1.5206835609013951,
True,L63+time,RHF,0.5,0.1,0.015,1.5348331959098953,
True,L63+time,RHF,0.5,0.1,0.015,1.5135527074003614,
True,L63+time,RHF,0.5,0.1,0.016,1.5643493935229633,
True,L63+time,RHF,0.5,0.1,0.016,1.745244548596869,
True,L63+time,RHF,0.5,0.1,0.016,1.787787261728451,
True,L63+time,RHF,0.5,0.1,0.017,1.6409485943955713,
True,L63+time,RHF,0.5,0.1,0.017,1.7379454353296637,
True,L63+time,RHF,0.5,0.1,0.017,1.9707840772672671,
True,L63+time,RHF,0.5,0.1,0.018000000000000002,2.008154241716699,
True,L63+time,RHF,0.5,0.1,0.018000000000000002,1.9015428324718129,
True,L63+time,RHF,0.5,0.1,0.018000000000000002,1.8124908323265898,
True,L63+time,RHF,0.5,0.1,0.019,1.9904099601438285,
True,L63+time,RHF,0.5,0.1,0.019,1.8262352085774511,
True,L63+time,RHF,0.5,0.1,0.019,2.1225162813368925,
True,L63+time,RHF,0.5,0.1,0.02,1.9617306780415222,
True,L63+time,RHF,0.5,0.1,0.02,1.8711471848772727,
True,L63+time,RHF,0.5,0.1,0.02,2.0833680023693355,
True,L63+time,RHF,0.5,0.1,0.021,2.3552503656449733,
True,L63+time,RHF,0.5,0.1,0.021,2.0227477470313167,
True,L63+time,RHF,0.5,0.1,0.021,2.0969279618756285,
True,L63+time,RHF,0.5,0.1,0.022,2.3261047611792676,
True,L63+time,RHF,0.5,0.1,0.022,2.052854763053278,
True,L63+time,RHF,0.5,0.1,0.022,2.183334195329817,
True,L63+time,RHF,0.5,0.1,0.023,2.2437805737074017,
True,L63+time,RHF,0.5,0.1,0.023,2.4175101337998144,
True,L63+time,RHF,0.5,0.1,0.023,2.2737038193385604,
True,L63+time,RHF,0.5,0.1,0.024,2.2329662110310524,
